model,accuracy_mean,accuracy_std,f1_score_mean,f1_score_std
lgbm,0.5193816425120773,0.10311613383967139,0.5191786240617797,0.1431989387865915
logreg,0.6187246376811594,0.12885359616994843,0.6033059158572966,0.19536210869093723
mlp,0.619856452726018,0.13521884006825494,0.6046373449178685,0.18879436116226814
rf,0.5030227743271222,0.1201431588862939,0.4971981237303197,0.16037306817533784
svc,0.6540510697032437,0.12484432144862997,0.6366383728080492,0.17648063321827975
xgb,0.5074202898550725,0.10899993891148659,0.5037622363022335,0.14528791639352012
